step,who,wealth,payoffs,choices,strategy,tau
100,60,42.6375144336464,0,1,1,0
101,60,42.6375144336464,0,0,1,0
0,20,61.49499907206409,0,1,1,0
1,20,61.49499907206409,0,0,1,0
2,20,61.49499907206409,0,0,1,0
3,20,61.49499907206409,0,0,1,0
4,20,61.49499907206409,0,0,1,0
5,20,61.49499907206409,0,0,1,0
6,20,61.49499907206409,0.8602150537634409,0,1,0
7,20,61.49499907206409,0,0,1,0
8,20,61.49499907206409,10,1,1,0
9,20,61.49499907206409,0.8602150537634409,0,1,0
10,20,61.49499907206409,0,0,1,0
11,20,61.49499907206409,0,0,1,0
12,20,61.49499907206409,0,0,1,0
13,20,61.49499907206409,0.8695652173913043,0,1,0
14,20,61.49499907206409,0,0,1,0
15,20,61.49499907206409,0,0,1,0
16,20,61.49499907206409,0,0,1,0
17,20,61.49499907206409,0,0,1,0
18,20,61.49499907206409,0.9302325581395349,0,1,0
19,20,61.49499907206409,0,1,1,0
